,variable,powertrain,euro_class,component,hot
288,a,ICEV-p,2.0,Benzene,1.4462254202070084e-06
289,a,ICEV-p,2.0,CH4,2.2370076858576943e-06
290,a,ICEV-p,2.0,CO,0.00021871013245831065
291,a,ICEV-p,2.0,FC_MJ,0.0009999999999999998
292,a,ICEV-p,2.0,HC,1.1185038210590005e-05
293,a,ICEV-p,2.0,N2O,3.432622772048822e-06
294,a,ICEV-p,2.0,NH3,0.00012118360711769617
295,a,ICEV-p,2.0,NMHC,8.94803074343078e-06
296,a,ICEV-p,2.0,NO2,2.6958709511070777e-06
297,a,ICEV-p,2.0,NOx,5.391741824155371e-05
298,a,ICEV-p,2.0,PM2.5,1.59622840627435e-06
299,a,ICEV-p,2.0,Pb,2.3799167946703794e-08
300,a,ICEV-p,3.0,Benzene,7.566489240578329e-07
301,a,ICEV-p,3.0,CH4,1.7555660506836344e-06
302,a,ICEV-p,3.0,CO,0.0002245944191198255
303,a,ICEV-p,3.0,FC_MJ,0.0009999999999999998
304,a,ICEV-p,3.0,HC,5.8518865612312905e-06
305,a,ICEV-p,3.0,N2O,2.6390100141394564e-07
306,a,ICEV-p,3.0,NH3,4.36764984560961e-05
307,a,ICEV-p,3.0,NMHC,4.09632053344479e-06
308,a,ICEV-p,3.0,NO2,9.128799480310354e-07
309,a,ICEV-p,3.0,NOx,1.8257598757598883e-05
310,a,ICEV-p,3.0,PM2.5,6.980889771518229e-07
311,a,ICEV-p,3.0,Pb,2.3799168115973797e-08
312,a,ICEV-p,4.0,Benzene,2.081311524493451e-08
313,a,ICEV-p,4.0,CH4,8.325246361865922e-07
314,a,ICEV-p,4.0,CO,0.00012482950272269756
315,a,ICEV-p,4.0,FC_MJ,0.0010000000000000002
316,a,ICEV-p,4.0,HC,2.081311565830651e-06
317,a,ICEV-p,4.0,N2O,2.5512136767660685e-07
318,a,ICEV-p,4.0,NH3,4.36764984560961e-05
319,a,ICEV-p,4.0,NMHC,1.248786989563819e-06
320,a,ICEV-p,4.0,NO2,1.0200432840684384e-06
321,a,ICEV-p,4.0,NOx,2.0400865448628643e-05
322,a,ICEV-p,4.0,PM2.5,4.334290269635937e-07
323,a,ICEV-p,4.0,Pb,2.3799168178646092e-08
324,a,ICEV-p,5.0,Benzene,3.067728902933836e-08
325,a,ICEV-p,5.0,CH4,1.2270916090791313e-06
326,a,ICEV-p,5.0,CO,0.00019178859075093526
327,a,ICEV-p,5.0,FC_MJ,0.001
328,a,ICEV-p,5.0,HC,3.0677289560233606e-06
329,a,ICEV-p,5.0,N2O,2.5512136767660685e-07
330,a,ICEV-p,5.0,NH3,1.6113466769456873e-05
331,a,ICEV-p,5.0,NMHC,1.8406374368297669e-06
332,a,ICEV-p,5.0,NO2,4.5684927568592313e-07
333,a,ICEV-p,5.0,NOx,9.136985381822191e-06
334,a,ICEV-p,5.0,PM2.5,6.40621095919963e-07
335,a,ICEV-p,5.0,Pb,2.3799168169497855e-08
336,a,ICEV-p,6.0,Benzene,2.3799792729358863e-08
337,a,ICEV-p,6.0,CH4,9.519917474371837e-07
338,a,ICEV-p,6.0,CO,0.00016144459509390493
339,a,ICEV-p,6.0,FC_MJ,0.001
340,a,ICEV-p,6.0,HC,2.3799793270105237e-06
341,a,ICEV-p,6.0,N2O,2.5512136767660685e-07
342,a,ICEV-p,6.0,NH3,1.634955766864799e-05
343,a,ICEV-p,6.0,NMHC,1.4279876549558793e-06
344,a,ICEV-p,6.0,NO2,8.863571402759116e-07
345,a,ICEV-p,6.0,NOx,1.7727142503803437e-05
346,a,ICEV-p,6.0,PM2.5,4.329454339049094e-07
347,a,ICEV-p,6.0,Pb,2.379916800258885e-08
348,a,ICEV-p,6.1,Benzene,8.507387712490871e-09
349,a,ICEV-p,6.1,CH4,3.402955190320785e-07
350,a,ICEV-p,6.1,CO,0.00015317333963416144
351,a,ICEV-p,6.1,FC_MJ,0.001
352,a,ICEV-p,6.1,HC,8.507387846803663e-07
353,a,ICEV-p,6.1,N2O,2.5512136767660685e-07
354,a,ICEV-p,6.1,NH3,1.634955766864799e-05
355,a,ICEV-p,6.1,NMHC,5.104432873036877e-07
356,a,ICEV-p,6.1,NO2,3.6157744720486894e-07
357,a,ICEV-p,6.1,NOx,7.231548799595035e-06
358,a,ICEV-p,6.1,PM2.5,1.891448979342174e-07
359,a,ICEV-p,6.1,Pb,2.3799167995648846e-08
360,a,ICEV-p,6.2,Benzene,2.4305021707145884e-08
361,a,ICEV-p,6.2,CH4,9.72200908813607e-07
362,a,ICEV-p,6.2,CO,0.00018224235947906733
363,a,ICEV-p,6.2,FC_MJ,0.0010000000000000002
364,a,ICEV-p,6.2,HC,2.4305022227823765e-06
365,a,ICEV-p,6.2,N2O,2.5512136767660685e-07
366,a,ICEV-p,6.2,NH3,1.634955766864799e-05
367,a,ICEV-p,6.2,NMHC,1.4583014017299933e-06
368,a,ICEV-p,6.2,NO2,5.030544167192885e-07
369,a,ICEV-p,6.2,NOx,1.0061088136516967e-05
370,a,ICEV-p,6.2,PM2.5,4.603355774474154e-07
371,a,ICEV-p,6.2,Pb,2.3799167885225134e-08
372,a,ICEV-p,6.3,Benzene,2.4575179023595156e-08
373,a,ICEV-p,6.3,CH4,9.830072017769542e-07
374,a,ICEV-p,6.3,CO,0.00017883016623361877
375,a,ICEV-p,6.3,FC_MJ,0.001
376,a,ICEV-p,6.3,HC,2.4575179558293844e-06
377,a,ICEV-p,6.3,N2O,2.5512136767660685e-07
378,a,ICEV-p,6.3,NH3,1.634955766864799e-05
379,a,ICEV-p,6.3,NMHC,1.474510834017125e-06
380,a,ICEV-p,6.3,NO2,4.690883039619492e-07
381,a,ICEV-p,6.3,NOx,9.381765956460715e-06
382,a,ICEV-p,6.3,PM2.5,5.421395048999144e-07
383,a,ICEV-p,6.3,Pb,2.379916802331333e-08
384,a,ICEV-p,7.0,Benzene,1.897507078455098e-08
385,a,ICEV-p,7.0,CH4,7.590028609102756e-07
386,a,ICEV-p,7.0,CO,0.00013956116334334857
387,a,ICEV-p,7.0,FC_MJ,0.0010000000000000002
388,a,ICEV-p,7.0,HC,1.8975071228083293e-06
389,a,ICEV-p,7.0,N2O,2.5512136767660685e-07
390,a,ICEV-p,7.0,NH3,1.634955766864799e-05
391,a,ICEV-p,7.0,NMHC,1.1385043259469417e-06
392,a,ICEV-p,7.0,NO2,3.6125906092387797e-07
393,a,ICEV-p,7.0,NOx,7.2251810763822425e-06
394,a,ICEV-p,7.0,PM2.5,1.4289254422358964e-07
395,a,ICEV-p,7.0,Pb,2.3799167863948537e-08
