,powertrain,euro_class,type,Component,hot
449,ICEV-d,6.3,diurnal,N2O,0.0
450,ICEV-d,6.3,diurnal,NH3,0.0
451,ICEV-d,6.3,diurnal,NMHC,0.0
452,ICEV-d,6.3,diurnal,NO2,0.0
453,ICEV-d,6.3,diurnal,NOx,0.0
454,ICEV-d,6.3,diurnal,PM2.5,0.0
455,ICEV-d,6.3,diurnal,Pb,0.0
456,ICEV-d,6.3,running losses,Benzene,0.0
457,ICEV-d,6.3,running losses,CH4,0.0
458,ICEV-d,6.3,running losses,CO,0.0
459,ICEV-d,6.3,running losses,FC_MJ,0.0
460,ICEV-d,6.3,running losses,HC,0.0
461,ICEV-d,6.3,running losses,N2O,0.0
462,ICEV-d,6.3,running losses,NH3,0.0
463,ICEV-d,6.3,running losses,NMHC,0.0
464,ICEV-d,6.3,running losses,NO2,0.0
465,ICEV-d,6.3,running losses,NOx,0.0
466,ICEV-d,6.3,running losses,PM2.5,0.0
467,ICEV-d,6.3,running losses,Pb,0.0
468,ICEV-d,6.3,soak,Benzene,0.0
469,ICEV-d,6.3,soak,CH4,0.0
470,ICEV-d,6.3,soak,CO,0.0
471,ICEV-d,6.3,soak,FC_MJ,0.0
472,ICEV-d,6.3,soak,HC,0.0
473,ICEV-d,6.3,soak,N2O,0.0
474,ICEV-d,6.3,soak,NH3,0.0
475,ICEV-d,6.3,soak,NMHC,0.0
476,ICEV-d,6.3,soak,NO2,0.0
477,ICEV-d,6.3,soak,NOx,0.0
478,ICEV-d,6.3,soak,PM2.5,0.0
479,ICEV-d,6.3,soak,Pb,0.0
480,ICEV-d,7.0,cold start,Benzene,0.000482473755255342
481,ICEV-d,7.0,cold start,CH4,0.000989689840935171
482,ICEV-d,7.0,cold start,CO,0.444678544998169
483,ICEV-d,7.0,cold start,FC_MJ,0.946761727333069
484,ICEV-d,7.0,cold start,HC,0.0412370748817921
485,ICEV-d,7.0,cold start,N2O,0.0
486,ICEV-d,7.0,cold start,NH3,0.0
487,ICEV-d,7.0,cold start,NMHC,0.0402473844587803
488,ICEV-d,7.0,cold start,NO2,0.0402688346803188
489,ICEV-d,7.0,cold start,NOx,0.332217872142792
490,ICEV-d,7.0,cold start,PM2.5,0.00268444023095071
491,ICEV-d,7.0,cold start,Pb,0.0
492,ICEV-d,7.0,diurnal,Benzene,0.0
493,ICEV-d,7.0,diurnal,CH4,0.0
494,ICEV-d,7.0,diurnal,CO,0.0
495,ICEV-d,7.0,diurnal,FC_MJ,0.0
496,ICEV-d,7.0,diurnal,HC,0.0
497,ICEV-d,7.0,diurnal,N2O,0.0
498,ICEV-d,7.0,diurnal,NH3,0.0
499,ICEV-d,7.0,diurnal,NMHC,0.0
500,ICEV-d,7.0,diurnal,NO2,0.0
501,ICEV-d,7.0,diurnal,NOx,0.0
502,ICEV-d,7.0,diurnal,PM2.5,0.0
503,ICEV-d,7.0,diurnal,Pb,0.0
504,ICEV-d,7.0,running losses,Benzene,0.0
505,ICEV-d,7.0,running losses,CH4,0.0
506,ICEV-d,7.0,running losses,CO,0.0
507,ICEV-d,7.0,running losses,FC_MJ,0.0
508,ICEV-d,7.0,running losses,HC,0.0
509,ICEV-d,7.0,running losses,N2O,0.0
510,ICEV-d,7.0,running losses,NH3,0.0
511,ICEV-d,7.0,running losses,NMHC,0.0
512,ICEV-d,7.0,running losses,NO2,0.0
513,ICEV-d,7.0,running losses,NOx,0.0
514,ICEV-d,7.0,running losses,PM2.5,0.0
515,ICEV-d,7.0,running losses,Pb,0.0
516,ICEV-d,7.0,soak,Benzene,0.0
517,ICEV-d,7.0,soak,CH4,0.0
518,ICEV-d,7.0,soak,CO,0.0
519,ICEV-d,7.0,soak,FC_MJ,0.0
520,ICEV-d,7.0,soak,HC,0.0
521,ICEV-d,7.0,soak,N2O,0.0
522,ICEV-d,7.0,soak,NH3,0.0
523,ICEV-d,7.0,soak,NMHC,0.0
524,ICEV-d,7.0,soak,NO2,0.0
525,ICEV-d,7.0,soak,NOx,0.0
526,ICEV-d,7.0,soak,PM2.5,0.0
527,ICEV-d,7.0,soak,Pb,0.0
528,ICEV-g,0.0,cold start,Benzene,0.0
