country;year;Hydro;Nuclear;Gas;Solar;Wind;Biomass;Coal;Oil;Geothermal;Waste;Biogas CCS;Biomass CCS;Coal CCS;Gas CCS;Wood CCS;"Hydro, reservoir";Gas CCGT;Gas CHP;"Solar, thermal";"Wind, offshore";Lignite
CH;2025;0.284;0.254;0.000;0.115;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.291;0.000;0.051;0.000;0.000;0.000
CH;2030;0.368;0.113;0.055;0.112;0.045;0.018;0.017;0.000;0.001;0.035;0.000;0.000;0.000;0.000;0.000;0.223;0.000;0.000;0.000;0.014;0.000
CH;2040;0.274;0.034;0.084;0.153;0.054;0.019;0.011;0.000;0.002;0.041;0;0;0;0;0;0.309;0;0;0;0.020;0
CH;2050;0.336;0.015;0.105;0.195;0.059;0.017;0.000;0.000;0.002;0.038;0;0;0;0;0;0.213;0;0;0;0.020;0
CI;2015;0.470;0.000;0.230;0.000;0.000;0.000;0.000;0.300;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CI;2016;0.460;0.000;0.230;0.000;0.000;0.000;0.000;0.300;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CI;2020;0.460;0.000;0.230;0.000;0.000;0.000;0.000;0.300;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CI;2025;0.870;0.000;0.100;0.000;0.000;0.000;0.000;0.030;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CI;2030;0.530;0.000;0.040;0.030;0.000;0.000;0.390;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CI;2040;0.280;0.000;0.000;0.200;0.000;0.000;0.520;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CI;2050;0.140;0.000;0.000;0.240;0.000;0.000;0.620;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CL;2015;0.410;0.000;0.060;0.040;0.040;0.050;0.400;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CL;2016;0.410;0.000;0.050;0.050;0.040;0.050;0.400;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CL;2020;0.420;0.000;0.010;0.080;0.040;0.040;0.410;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CL;2025;0.350;0.000;0.030;0.080;0.130;0.040;0.370;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CL;2030;0.310;0.000;0.060;0.140;0.110;0.040;0.340;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CL;2040;0.270;0.000;0.090;0.240;0.120;0.030;0.240;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CL;2050;0.240;0.000;0.070;0.270;0.170;0.020;0.210;0.020;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CM;2015;0.400;0.000;0.180;0.000;0.000;0.000;0.000;0.410;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CM;2016;0.400;0.000;0.230;0.000;0.000;0.000;0.000;0.380;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CM;2020;0.370;0.000;0.580;0.000;0.000;0.000;0.000;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CM;2025;0.340;0.000;0.620;0.000;0.000;0.000;0.000;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CM;2030;0.240;0.000;0.680;0.060;0.000;0.000;0.000;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CM;2040;0.130;0.000;0.590;0.280;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
