;;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise;Coal;Crude oil;Natural gas;Brown coal;Peat
;;m2.year;kg CO2-eq.;kg oil-eq.;kg 1,4-DC;kg P-eq.;kg 1,4-DC;kg U235-eq.;kg 1,4-DC;kg N-eq.;kg Cu-eq.;m2;kg CFC-11-eq.;kg PM10-eq.;kg NMVOC;kg SO2-eq.;kg 1,4-DC;m2.year;m3;Person*Pa/W;kilogram;kilogram;cubic meter;kilogram;kilogram
_lci_direct_noise, octave 6, night time, urban;noise, octave 6, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1630000;0;0;0;0;0
_lci_direct_noise, octave 7, day time, rural;noise, octave 7, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15900;0;0;0;0;0
_lci_direct_noise, octave 7, day time, suburban;noise, octave 7, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;601000;0;0;0;0;0
_lci_direct_noise, octave 7, day time, urban;noise, octave 7, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275000;0;0;0;0;0
_lci_direct_noise, octave 7, evening time, rural;noise, octave 7, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32200;0;0;0;0;0
_lci_direct_noise, octave 7, evening time, suburban;noise, octave 7, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110000;0;0;0;0;0
_lci_direct_noise, octave 7, evening time, urban;noise, octave 7, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;918000;0;0;0;0;0
_lci_direct_noise, octave 7, night time, rural;noise, octave 7, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54600;0;0;0;0;0
_lci_direct_noise, octave 7, night time, suburban;noise, octave 7, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1940000;0;0;0;0;0
_lci_direct_noise, octave 7, night time, urban;noise, octave 7, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550000;0;0;0;0;0
_lci_direct_noise, octave 8, day time, rural;noise, octave 8, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5470;0;0;0;0;0
_lci_direct_noise, octave 8, day time, suburban;noise, octave 8, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;529000;0;0;0;0;0
_lci_direct_noise, octave 8, day time, urban;noise, octave 8, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243000;0;0;0;0;0
_lci_direct_noise, octave 8, evening time, rural;noise, octave 8, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15400;0;0;0;0;0
_lci_direct_noise, octave 8, evening time, suburban;noise, octave 8, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1020000;0;0;0;0;0
_lci_direct_noise, octave 8, evening time, urban;noise, octave 8, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;851000;0;0;0;0;0
_lci_direct_noise, octave 8, night time, rural;noise, octave 8, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23100;0;0;0;0;0
_lci_direct_noise, octave 8, night time, suburban;noise, octave 8, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1770000;0;0;0;0;0
_lci_direct_noise, octave 8, night time, urban;noise, octave 8, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1420000;0;0;0;0;0
_lci_direct_road_wear;market for road wear emissions, passenger car;0;0;0;0;0;0;0;0;0;0;0;0;-0.500000019;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_tyre_wear;market for tyre wear emissions, passenger car;0;0;0;-0.082296353;0;-3.202536162;0;-0.112097408;-0.000289564;0;0;0;-0.071297802;-3.96E-05;-0.000489;-0.045699996;0;0;0;0;0;0;0;0
