;;Human health, Climate change;Human health, Ozone depletion;Human health, Ionizing radiation;Human health, Fine particles;Human health, Summer smog;Human health, Toxicity;Human health, Water consumption;Human health, Human noise;Terrestrial ecosystems, Climate change;Terrestrial ecosystems, Summer smog;Terrestrial ecosystems, Acidification;Terrestrial ecosystems, Toxicity;Terrestrial ecosystems, Water consumption;Terrestrial ecosystems, Land use;Freshwater ecosystems, Climate change;Freshwater ecosystems, Eutrophication;Freshwater ecosystems, Toxicity;Freshwater ecosystems, Water consumption;Marine ecosystems, Toxicity;Marine ecosystems, Eutrophication;Resources, Mineral resources;Resources, Fossil resources
;;DALY;DALY;DALY;DALY;DALY;DALY;DALY;DALY;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;USD2013;USD2013
_lci_energy_diesel;market for diesel;4.78E-07;3.64E-10;2.14E-09;9.02E-07;2.90E-09;3.59E-07;2.82E-09;0;1.44E-09;4.11E-10;1.04E-09;7.40E-16;1.72E-11;1.17E-10;3.94E-14;4.54E-11;2.69E-12;7.68E-16;3.03E-13;1.19E-12;0.000223;0.553231479
_lci_energy_electricity;market group for electricity, low voltage;3.94E-07;2.47E-11;2.10E-09;4.93E-07;8.69E-10;1.18E-06;5.70E-09;0;1.19E-09;1.23E-10;5.41E-10;2.59E-16;3.47E-11;4.53E-10;3.25E-14;3.24E-10;1.68E-11;1.55E-15;2.28E-12;7.44E-13;0.000194;0.01644959
_lci_energy_h2;Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station;2.36E-05;1.43E-09;1.21E-07;2.94E-05;5.54E-08;6.17E-05;3.66E-07;0;7.13E-08;7.85E-09;3.24E-08;8.12E-15;2.22E-09;2.47E-08;1.95E-12;1.79E-08;4.10E-10;9.95E-14;5.84E-11;4.58E-11;0.00882;1.020874491
_lci_energy_petrol;market for petrol, low-sulfur;7.01E-07;3.74E-10;2.28E-09;1.15E-06;3.47E-09;4.86E-07;3.23E-09;0;2.11E-09;4.93E-10;1.33E-09;8.98E-16;1.96E-11;1.95E-10;5.78E-14;6.58E-11;3.30E-12;8.78E-16;3.95E-13;1.45E-12;0.0003;0.579848883
_lci_glider;market for glider, passenger car;5.73E-06;2.02E-10;4.17E-09;1.20E-05;2.60E-08;2.90E-05;6.21E-08;0;1.73E-08;3.69E-09;5.87E-09;1.69E-14;3.77E-10;3.05E-09;4.72E-13;3.76E-09;6.08E-10;1.69E-14;7.92E-11;1.27E-11;0.0442;0.412954949
_lci_glider_lightweighting;Glider lightweighting;-2.44E-06;-9.24E-11;-4.43E-10;-5.82E-06;-1.41E-08;8.10E-06;-4.43E-09;0;-7.37E-09;-1.99E-09;-1.96E-09;8.56E-16;-2.70E-11;-4.21E-10;-2.01E-13;6.07E-11;4.47E-11;-1.21E-15;6.42E-12;-4.19E-12;0.0098;-0.110931152
_lci_powertrain;market for internal combustion engine, passenger car;7.02E-06;3.53E-10;4.26E-09;1.47E-05;3.06E-08;2.36E-05;6.29E-08;0;2.12E-08;4.34E-09;1.05E-08;1.59E-14;3.83E-10;2.70E-09;5.79E-13;3.11E-09;1.57E-09;1.71E-14;2.04E-10;1.50E-11;0.0381;0.447424475
_lci_powertrain_charger;market for charger, electric passenger car;2.62E-05;1.07E-09;2.17E-08;5.89E-05;1.19E-07;0.000351;3.67E-07;0;7.90E-08;1.68E-08;4.41E-08;1.47E-13;2.23E-09;1.48E-08;2.16E-12;4.17E-08;1.79E-09;9.99E-14;2.77E-10;7.25E-11;0.382;1.510577329
_lci_powertrain_combustion_EoL;market for manual dismantling of used passenger car with internal combustion engine;8.80E-09;3.87E-13;3.71E-12;2.01E-08;3.90E-11;1.39E-08;5.99E-11;0;2.65E-11;5.53E-12;1.58E-11;1.84E-17;3.65E-13;4.79E-11;7.25E-16;1.89E-12;1.38E-13;1.63E-17;1.73E-14;2.65E-14;2.44E-05;0.000643398
_lci_powertrain_converter;market for converter, for electric passenger car;3.78E-05;1.67E-09;2.97E-08;7.55E-05;1.67E-07;0.000551;5.12E-07;0;1.14E-07;2.37E-08;5.69E-08;1.36E-13;3.12E-09;2.17E-08;3.12E-12;6.76E-08;2.63E-09;1.39E-13;3.86E-10;9.68E-11;0.439;2.068314264
