size,powertrain,euro_class,component,value
Scooter <4kW,ICEV-p,5,Acrolein,0.0011
Scooter <4kW,ICEV-p,5,Styrene,0.0053
Scooter <4kW,ICEV-p,5,PAHs,1.92E-11
Scooter <4kW,ICEV-p,5,Arsenic,1.66E-13
Scooter <4kW,ICEV-p,5,Selenium,1.11E-13
Scooter <4kW,ICEV-p,5,Zinc,1.19E-09
Scooter <4kW,ICEV-p,5,Copper,2.32E-11
Scooter <4kW,ICEV-p,5,Nickel,7.18E-12
Scooter <4kW,ICEV-p,5,Chromium,8.83E-12
Scooter <4kW,ICEV-p,5,Chromium VI,1.77E-14
Scooter <4kW,ICEV-p,5,Mercury,4.81E-12
Scooter <4kW,ICEV-p,5,Cadmium,5.96E-12
Scooter 4-11kW,ICEV-p,1,Carbon monoxide,10.279
Scooter 4-11kW,ICEV-p,1,Nitrogen oxides,0.175
Scooter 4-11kW,ICEV-p,1,Non-methane hydrocarbon,0.7106
Scooter 4-11kW,ICEV-p,1,Particulate matters 2.5,0.0142
Scooter 4-11kW,ICEV-p,1,Methane,0.101
Scooter 4-11kW,ICEV-p,1,Ammonia,0.0014
Scooter 4-11kW,ICEV-p,1,Dinitrogen oxide,0.0014
Scooter 4-11kW,ICEV-p,1,Ethane,0.0448
Scooter 4-11kW,ICEV-p,1,Propane,0.0098
Scooter 4-11kW,ICEV-p,1,Butane,0.0727
Scooter 4-11kW,ICEV-p,1,Pentane,0.0308
Scooter 4-11kW,ICEV-p,1,Hexane,0.0224
Scooter 4-11kW,ICEV-p,1,Cyclohexane,0.0154
Scooter 4-11kW,ICEV-p,1,Heptane,0.0098
Scooter 4-11kW,ICEV-p,1,Ethene,0.1021
Scooter 4-11kW,ICEV-p,1,Propene,0.0532
Scooter 4-11kW,ICEV-p,1,1-Pentene,0.0014
Scooter 4-11kW,ICEV-p,1,Toluene,0.1539
Scooter 4-11kW,ICEV-p,1,m-Xylene,0.0755
Scooter 4-11kW,ICEV-p,1,o-Xylene,0.0322
Scooter 4-11kW,ICEV-p,1,Formaldehyde,0.0238
Scooter 4-11kW,ICEV-p,1,Acetaldehyde,0.0112
Scooter 4-11kW,ICEV-p,1,Benzaldehyde,0.0028
Scooter 4-11kW,ICEV-p,1,Acetone,0.0084
Scooter 4-11kW,ICEV-p,1,Methyl ethyl ketone,0.0014
Scooter 4-11kW,ICEV-p,1,Acrolein,0.0028
Scooter 4-11kW,ICEV-p,1,Styrene,0.014
Scooter 4-11kW,ICEV-p,1,PAHs,1.92E-11
Scooter 4-11kW,ICEV-p,1,Arsenic,1.66E-13
Scooter 4-11kW,ICEV-p,1,Selenium,1.11E-13
Scooter 4-11kW,ICEV-p,1,Zinc,1.19E-09
Scooter 4-11kW,ICEV-p,1,Copper,2.32E-11
Scooter 4-11kW,ICEV-p,1,Nickel,7.18E-12
Scooter 4-11kW,ICEV-p,1,Chromium,8.83E-12
Scooter 4-11kW,ICEV-p,1,Chromium VI,1.77E-14
Scooter 4-11kW,ICEV-p,1,Mercury,4.81E-12
Scooter 4-11kW,ICEV-p,1,Cadmium,5.96E-12
Scooter 4-11kW,ICEV-p,2,Carbon monoxide,4.5267
Scooter 4-11kW,ICEV-p,2,Nitrogen oxides,0.1833
Scooter 4-11kW,ICEV-p,2,Non-methane hydrocarbon,0.289
Scooter 4-11kW,ICEV-p,2,Particulate matters 2.5,0.0038
Scooter 4-11kW,ICEV-p,2,Methane,0.0921
Scooter 4-11kW,ICEV-p,2,Ammonia,0.0015
Scooter 4-11kW,ICEV-p,2,Dinitrogen oxide,0.0015
Scooter 4-11kW,ICEV-p,2,Ethane,0.0182
Scooter 4-11kW,ICEV-p,2,Propane,0.004
Scooter 4-11kW,ICEV-p,2,Butane,0.0296
Scooter 4-11kW,ICEV-p,2,Pentane,0.0125
Scooter 4-11kW,ICEV-p,2,Hexane,0.0091
Scooter 4-11kW,ICEV-p,2,Cyclohexane,0.0063
Scooter 4-11kW,ICEV-p,2,Heptane,0.004
Scooter 4-11kW,ICEV-p,2,Ethene,0.0415
Scooter 4-11kW,ICEV-p,2,Propene,0.0216
Scooter 4-11kW,ICEV-p,2,1-Pentene,0.0006
Scooter 4-11kW,ICEV-p,2,Toluene,0.0626
Scooter 4-11kW,ICEV-p,2,m-Xylene,0.0307
Scooter 4-11kW,ICEV-p,2,o-Xylene,0.0131
Scooter 4-11kW,ICEV-p,2,Formaldehyde,0.0097
Scooter 4-11kW,ICEV-p,2,Acetaldehyde,0.0046
Scooter 4-11kW,ICEV-p,2,Benzaldehyde,0.0011
Scooter 4-11kW,ICEV-p,2,Acetone,0.0034
Scooter 4-11kW,ICEV-p,2,Methyl ethyl ketone,0.0006
Scooter 4-11kW,ICEV-p,2,Acrolein,0.0011
Scooter 4-11kW,ICEV-p,2,Styrene,0.0057
Scooter 4-11kW,ICEV-p,2,PAHs,1.92E-11
Scooter 4-11kW,ICEV-p,2,Arsenic,1.66E-13
Scooter 4-11kW,ICEV-p,2,Selenium,1.11E-13
Scooter 4-11kW,ICEV-p,2,Zinc,1.19E-09
Scooter 4-11kW,ICEV-p,2,Copper,2.32E-11
Scooter 4-11kW,ICEV-p,2,Nickel,7.18E-12
Scooter 4-11kW,ICEV-p,2,Chromium,8.83E-12
Scooter 4-11kW,ICEV-p,2,Chromium VI,1.77E-14
Scooter 4-11kW,ICEV-p,2,Mercury,4.81E-12
Scooter 4-11kW,ICEV-p,2,Cadmium,5.96E-12
Scooter 4-11kW,ICEV-p,3,Carbon monoxide,0.6846
Scooter 4-11kW,ICEV-p,3,Nitrogen oxides,0.0931
Scooter 4-11kW,ICEV-p,3,Non-methane hydrocarbon,0.0322
Scooter 4-11kW,ICEV-p,3,Particulate matters 2.5,0.0044
Scooter 4-11kW,ICEV-p,3,Methane,0.057
Scooter 4-11kW,ICEV-p,3,Ammonia,0.0017
Scooter 4-11kW,ICEV-p,3,Dinitrogen oxide,0.0017
Scooter 4-11kW,ICEV-p,3,Ethane,0.002
Scooter 4-11kW,ICEV-p,3,Propane,0.0004
Scooter 4-11kW,ICEV-p,3,Butane,0.0033
Scooter 4-11kW,ICEV-p,3,Pentane,0.0014
Scooter 4-11kW,ICEV-p,3,Hexane,0.001
Scooter 4-11kW,ICEV-p,3,Cyclohexane,0.0007
