powertrain,euro_class,component,size,value
ICEV-d,5,Particulate matters 2.5,3.5t,0.003307965
ICEV-d,5,Benzene,18t,6.41965E-05
ICEV-d,5,Methane,18t,9.22585E-05
ICEV-d,5,Carbon monoxide,18t,0.151413641
ICEV-d,5,Hydrocarbon,18t,0.003844104
ICEV-d,5,Dinitrogen oxide,18t,0.003406521
ICEV-d,5,Ammonia,18t,0.001024426
ICEV-d,5,Non-methane hydrocarbon,18t,0.003751846
ICEV-d,5,Nitrogen dioxide,18t,0.046581551
ICEV-d,5,Nitrogen oxides,18t,0.372185021
ICEV-d,5,Lead,18t,0
ICEV-d,5,Particulate matters 2.5,18t,0.003491803
ICEV-d,5,Benzene,26t,6.76926E-05
ICEV-d,5,Methane,26t,9.72828E-05
ICEV-d,5,Carbon monoxide,26t,0.092522347
ICEV-d,5,Hydrocarbon,26t,0.004053452
ICEV-d,5,Dinitrogen oxide,26t,0.002464883
ICEV-d,5,Ammonia,26t,0.000741252
ICEV-d,5,Non-methane hydrocarbon,26t,0.003956169
ICEV-d,5,Nitrogen dioxide,26t,0.039700059
ICEV-d,5,Nitrogen oxides,26t,0.33352804
ICEV-d,5,Lead,26t,0
ICEV-d,5,Particulate matters 2.5,26t,0.003534923
ICEV-d,5,Benzene,32t,5.96225E-05
ICEV-d,5,Methane,32t,8.5685E-05
ICEV-d,5,Carbon monoxide,32t,0.124596623
ICEV-d,5,Hydrocarbon,32t,0.003570209
ICEV-d,5,Dinitrogen oxide,32t,0.00373838
ICEV-d,5,Ammonia,32t,0.000733009
ICEV-d,5,Non-methane hydrocarbon,32t,0.003484524
ICEV-d,5,Nitrogen dioxide,32t,0.04394962
ICEV-d,5,Nitrogen oxides,32t,0.352863857
ICEV-d,5,Lead,32t,0
ICEV-d,5,Particulate matters 2.5,32t,0.003172035
ICEV-d,5,Benzene,40t,6.29611E-05
ICEV-d,5,Methane,40t,9.0483E-05
ICEV-d,5,Carbon monoxide,40t,0.111126149
ICEV-d,5,Hydrocarbon,40t,0.003770126
ICEV-d,5,Dinitrogen oxide,40t,0.003165154
ICEV-d,5,Ammonia,40t,0.00057411
ICEV-d,5,Non-methane hydrocarbon,40t,0.003679643
ICEV-d,5,Nitrogen dioxide,40t,0.043439586
ICEV-d,5,Nitrogen oxides,40t,0.352902499
ICEV-d,5,Lead,40t,0
ICEV-d,5,Particulate matters 2.5,40t,0.003120677
ICEV-d,5,Benzene,60t,6.2007E-05
ICEV-d,5,Methane,60t,8.91119E-05
ICEV-d,5,Carbon monoxide,60t,0.110316253
ICEV-d,5,Hydrocarbon,60t,0.003712994
ICEV-d,5,Dinitrogen oxide,60t,0.002533172
ICEV-d,5,Ammonia,60t,0.000459478
ICEV-d,5,Non-methane hydrocarbon,60t,0.003623882
ICEV-d,5,Nitrogen dioxide,60t,0.043745028
ICEV-d,5,Nitrogen oxides,60t,0.354283249
ICEV-d,5,Lead,60t,0
ICEV-d,5,Particulate matters 2.5,60t,0.003096562
ICEV-d,5,Benzene,7.5t,6.38548E-05
ICEV-d,5,Methane,7.5t,9.17674E-05
ICEV-d,5,Carbon monoxide,7.5t,0.106025344
ICEV-d,5,Hydrocarbon,7.5t,0.00382364
ICEV-d,5,Dinitrogen oxide,7.5t,0.004307557
ICEV-d,5,Ammonia,7.5t,0.001291782
ICEV-d,5,Non-methane hydrocarbon,7.5t,0.003731872
ICEV-d,5,Nitrogen dioxide,7.5t,0.039311876
ICEV-d,5,Nitrogen oxides,7.5t,0.32900227
ICEV-d,5,Lead,7.5t,0
ICEV-d,5,Particulate matters 2.5,7.5t,0.003495909
ICEV-g,5,Benzene,3.5t,0
ICEV-g,5,Methane,3.5t,0.022610088
ICEV-g,5,Carbon monoxide,3.5t,0.052087487
ICEV-g,5,Hydrocarbon,3.5t,0.024576181
ICEV-g,5,Non-methane hydrocarbon,3.5t,0.001966094
ICEV-g,5,Nitrogen dioxide,3.5t,0.023681259
ICEV-g,5,Nitrogen oxides,3.5t,0.094725037
ICEV-g,5,Lead,3.5t,0
ICEV-g,5,Particulate matters 2.5,3.5t,0.000406425
ICEV-d,6,Benzene,3.5t,2.02051E-05
ICEV-d,6,Methane,3.5t,2.90373E-05
ICEV-d,6,Carbon monoxide,3.5t,0.012226801
ICEV-d,6,Hydrocarbon,3.5t,0.001209888
ICEV-d,6,Dinitrogen oxide,3.5t,0.002233729
ICEV-d,6,Ammonia,3.5t,0.000922017
ICEV-d,6,Non-methane hydrocarbon,3.5t,0.001180851
ICEV-d,6,Nitrogen dioxide,3.5t,0.044354288
ICEV-d,6,Nitrogen oxides,3.5t,0.158408178
ICEV-d,6,Lead,3.5t,0
ICEV-d,6,Particulate matters 2.5,3.5t,0.000602185
ICEV-d,6,Benzene,18t,2.31276E-05
ICEV-d,6,Methane,18t,3.32373E-05
ICEV-d,6,Carbon monoxide,18t,0.015201498
ICEV-d,6,Hydrocarbon,18t,0.001384887
ICEV-d,6,Dinitrogen oxide,18t,0.00296173
ICEV-d,6,Ammonia,18t,0.000837742
ICEV-d,6,Non-methane hydrocarbon,18t,0.00135165
ICEV-d,6,Nitrogen dioxide,18t,0.041348384
ICEV-d,6,Nitrogen oxides,18t,0.147672791
ICEV-d,6,Lead,18t,0
ICEV-d,6,Particulate matters 2.5,18t,0.000803979
ICEV-d,6,Benzene,26t,2.19065E-05
ICEV-d,6,Methane,26t,3.14824E-05
ICEV-d,6,Carbon monoxide,26t,0.013458719
ICEV-d,6,Hydrocarbon,26t,0.001311766
ICEV-d,6,Dinitrogen oxide,26t,0.002124266
ICEV-d,6,Ammonia,26t,0.000810293
ICEV-d,6,Non-methane hydrocarbon,26t,0.001280284
ICEV-d,6,Nitrogen dioxide,26t,0.04536891
ICEV-d,6,Nitrogen oxides,26t,0.162031825
ICEV-d,6,Lead,26t,0
ICEV-d,6,Particulate matters 2.5,26t,0.001412802
ICEV-d,6,Benzene,32t,2.22174E-05
ICEV-d,6,Methane,32t,3.19293E-05
ICEV-d,6,Carbon monoxide,32t,0.012852466
ICEV-d,6,Hydrocarbon,32t,0.001330386
ICEV-d,6,Dinitrogen oxide,32t,0.00318885
ICEV-d,6,Ammonia,32t,0.00078999
