Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
273;0.0027;0.001319;0.021454;0.003109;0.021952;0.003269
274;0.004448;0.003402;0.021454;0.004805;0.022456;0.005003
275;0.006398;0.005219;0.021598;0.006639;0.022865;0.006762
276;0.008348;0.006932;0.022384;0.008643;0.023669;0.008822
277;0.009668;0.008981;0.022558;0.009807;0.023883;0.009919
278;0.010728;0.010022;0.02346;0.010714;0.024882;0.010654
279;0.009879;0.010638;0.023698;0.009679;0.024992;0.009591
280;0.008027;0.009614;0.024551;0.007618;0.026004;0.007433
281;0.005436;0.007749;0.024882;0.004957;0.026095;0.004739
282;0.002722;0.005111;0.025599;0.002278;0.026095;0.002078
283;0.000314;0.002462;0.026095;0.000024;0.026095;-0.000102
284;-0.000768;0.000248;0.026095;-0.000779;0.026095;-0.000793
285;-0.000026;-0.000965;0.026095;0.000249;0.026095;0.000372
286;0.002565;0.000162;0.026095;0.003183;0.026095;0.00345
287;0.006848;0.002772;0.026095;0.007839;0.026095;0.008294
288;0.013204;0.007285;0.026095;0.014401;0.026095;0.014928
289;0.020459;0.013705;0.026095;0.021704;0.026095;0.022268
290;0.027859;0.021086;0.026095;0.029144;0.026095;0.029715
291;0.034723;0.028391;0.026095;0.03571;0.026095;0.036153
292;0.039399;0.03533;0.026095;0.039974;0.026095;0.04023
293;0.041745;0.039809;0.026095;0.041807;0.026095;0.041849
294;0.041103;0.041774;0.026095;0.040741;0.026095;0.040586
295;0.038753;0.040922;0.026095;0.038188;0.026095;0.037964
296;0.035251;0.038454;0.026095;0.034888;0.026095;0.034623
297;0.032059;0.034975;0.026095;0.031219;0.026095;0.030965
298;0.028947;0.031629;0.026095;0.028607;0.026095;0.028475
299;0.02714;0.028734;0.026095;0.026443;0.026095;0.026716
300;0.025481;0.026947;0.026095;0.025784;0.026095;0.025329
301;0.025481;0.025436;0.026095;0.025271;0.026095;0.024811
302;0.023038;0.025186;0.026095;0.023;0.026095;0.023
303;0.023;0.023;0.026095;0.023;0.026095;0.023
304;0.023;0.023;0.026095;0.023;0.025303;0.023
305;0.023;0.023;0.026095;0.023;0.024511;0.023
306;0.023;0.023;0.02586;0.023;0.023617;0.023
307;0.023;0.023;0.02469;0.023;0.022965;0.023
308;0.023;0.023;0.023945;0.023;0.022392;0.023
309;0.023;0.023;0.023382;0.023;0.021567;0.023
310;0.023;0.023;0.022571;0.023;0.020861;0.023
311;0.023;0.023;0.021853;0.023;0.020261;0.023
312;0.023;0.023;0.021251;0.023;0.019529;0.023
313;0.023;0.023;0.020515;0.023;0.018751;0.023
314;0.023;0.023;0.019767;0.023;0.018119;0.023
315;0.023;0.023;0.019116;0.023;0.017477;0.023
316;0.023;0.023;0.018451;0.023;0.016632;0.023
317;0.023;0.023;0.017667;0.023;0.016556;0.023
318;0.023;0.023;0.01697;0.023;0.016556;0.023
319;0.023;0.023;0.016556;0.023;0.017578;0.023
320;0.023;0.023;0.016556;0.023;0.020074;0.023
321;0.023;0.023;0.016828;0.023;0.022149;0.023
322;0.023;0.023;0.019053;0.023;0.024284;0.023
323;0.023;0.023;0.021335;0.023;0.026219;0.023
324;0.023;0.023;0.023321;0.023;0.028449;0.023
325;0.023;0.023;0.02542;0.023;0.030456;0.023
326;0.023;0.023;0.027548;0.023;0.032485;0.023
327;0.023;0.023;0.029508;0.023;0.034653;0.023
328;0.023;0.023;0.031695;0.023;0.03659;0.023
329;0.023;0.023;0.033703;0.023;0.038602;0.023
330;0.023;0.023;0.035765;0.023;0.040414;0.023
331;0.023;0.023;0.037822;0.023;0.04215;0.023
332;0.023;0.023;0.039552;0.023;0.044041;0.023
333;0.023;0.023;0.04148;0.023;0.04475;0.023
334;0.023;0.023;0.043257;0.023;0.04475;0.023
335;0.023;0.023;0.044623;0.023;0.04475;0.023
